,Risk Off,Risk On,BTC
01/05/2016,101.8657258,107.5474188,449.90
02/05/2016,102.6297797,109.1619913,455.01
03/05/2016,101.2454089,105.8555936,444.93
04/05/2016,102.2889357,107.928705,451.63
05/05/2016,101.997466,106.7023657,448.37
06/05/2016,102.1974809,106.9529693,449.34
07/05/2016,103.7715569,111.1309647,461.69
08/05/2016,103.7745098,110.9734714,461.36
09/05/2016,103.8110099,110.9448996,461.38
10/05/2016,104.0937251,111.631908,463.46
11/05/2016,102.4452206,107.516807,451.08
12/05/2016,102.9510546,108.3220145,453.90
13/05/2016,103.2104417,108.8590102,455.61
14/05/2016,103.4618578,109.3684607,457.24
15/05/2016,103.6094036,109.6294155,458.12
16/05/2016,103.9785649,110.5347789,460.86
17/05/2016,103.2790337,108.6120686,455.22
18/05/2016,103.1938002,107.9161241,453.55
19/05/2016,103.3593488,108.1883004,454.49
20/05/2016,100.6400201,103.1055449,437.72
21/05/2016,101.4195888,104.5009038,442.40
22/05/2016,101.7327482,104.9703788,444.08
23/05/2016,101.1930588,103.8718558,440.56
24/05/2016,101.820753,104.9414209,444.21
25/05/2016,102.0915904,105.3545347,445.67
26/05/2016,102.8523662,106.8629218,450.55
27/05/2016,103.490949,108.0322874,454.43
28/05/2016,105.3369654,114.2789468,471.82
29/05/2016,107.1079722,140.0120146,530.91
30/05/2016,107.0615711,138.4940705,527.55
31/05/2016,107.2584177,141.0636386,533.49
01/06/2016,107.2359167,139.8994798,530.94
02/06/2016,107.4207826,142.8192045,537.61
03/06/2016,107.4803433,143.2984413,538.77
04/06/2016,107.8011979,157.5951165,570.18
05/06/2016,107.8449066,159.4552225,574.27
06/06/2016,107.8658516,159.8398935,575.14
07/06/2016,107.9181989,164.7770054,585.86
08/06/2016,107.9040878,161.3523721,578.47
09/06/2016,107.9292436,163.4815066,583.10
10/06/2016,107.9211716,160.6987595,577.10
11/06/2016,107.9383734,161.9444763,579.81
12/06/2016,107.9719752,173.8426282,605.45
13/06/2016,107.9819326,204.060672,670.39
14/06/2016,107.9830195,219.8522177,704.32
15/06/2016,107.9828117,210.8349397,684.95
16/06/2016,107.9830742,215.5139722,695.00
17/06/2016,107.9831852,249.2214899,767.42
18/06/2016,107.9831834,241.1200512,750.01
19/06/2016,107.9831884,244.9712943,758.29
20/06/2016,107.9831894,248.9175903,766.77
21/06/2016,107.9831866,228.3120207,722.50
22/06/2016,107.9830739,203.6926728,669.60
23/06/2016,107.9650228,168.9080321,594.83
24/06/2016,107.9819772,184.1789137,627.68
25/06/2016,107.9831679,201.1431763,664.13
26/06/2016,107.9831886,203.3520677,668.87
27/06/2016,107.9831875,185.4606791,630.43
28/06/2016,107.9831896,195.6125278,652.24
29/06/2016,107.9831896,193.2731294,647.22
30/06/2016,107.9831896,189.2551195,638.59
01/07/2016,109.4896415,207.7737126,674.28
02/07/2016,109.6562754,209.394684,677.51
03/07/2016,110.7041377,222.5104252,702.74
04/07/2016,108.9832176,201.7059914,662.55
05/07/2016,109.7169894,210.6693236,679.84
06/07/2016,109.2419626,204.581109,668.17
07/07/2016,109.6582428,209.4735908,677.65
08/07/2016,108.0270989,190.0476007,640.05
09/07/2016,109.0896441,203.0022023,665.05
10/07/2016,108.5516582,196.1747865,651.94
11/07/2016,108.4770842,195.1303974,649.96
12/07/2016,108.501893,195.2725872,650.27
13/07/2016,109.3615468,205.4722785,670.02
14/07/2016,108.8659805,199.4123282,658.33
15/07/2016,108.992311,200.7155767,660.91
16/07/2016,109.2681852,203.7010372,666.76
17/07/2016,109.2200537,202.9063779,665.28
18/07/2016,109.9280522,211.0386318,681.09
19/07/2016,109.7127179,207.8769531,675.12
20/07/2016,109.7109729,207.6084234,674.66
21/07/2016,109.3931746,203.8060243,667.31
22/07/2016,109.3924996,203.538342,666.85
23/07/2016,108.6436403,195.1962513,650.56
24/07/2016,108.9753385,198.6542527,657.38
25/07/2016,109.1790161,200.6776327,661.39
26/07/2016,108.8960823,197.454606,655.12
27/07/2016,108.8964409,197.1616334,654.63
28/07/2016,109.1445961,197.7040031,656.28
29/07/2016,109.1559044,197.6375438,656.20
30/07/2016,109.2432003,198.2912973,657.56
31/07/2016,109.1411343,197.1686847,655.36
01/08/2016,107.4857576,181.9582996,624.80
02/08/2016,106.4949096,172.8510797,606.51
03/08/2016,102.6732342,132.411874,526.98
04/08/2016,104.7753525,154.4310879,570.35
05/08/2016,105.40758,161.1439194,583.54
06/08/2016,105.2795119,160.0274509,581.28
07/08/2016,105.7423469,164.8562736,590.80
08/08/2016,105.9307091,166.8596011,594.73
09/08/2016,105.7601165,165.3193768,591.63
10/08/2016,105.5567431,163.4844718,587.93
11/08/2016,105.6348175,164.5547604,589.97
12/08/2016,105.5028139,164.5591622,589.59
13/08/2016,105.3213196,163.4581539,587.19
14/08/2016,105.1885749,162.6072829,585.36
15/08/2016,104.3710179,155.756096,571.39
16/08/2016,103.8529189,153.8056645,566.56
17/08/2016,104.5354119,159.6334379,578.41
18/08/2016,104.208578,157.3901638,573.66
19/08/2016,104.1439375,157.2660356,573.26
20/08/2016,104.0903156,157.7720926,573.96
21/08/2016,104.4587275,161.7724342,581.80
22/08/2016,104.0471494,161.8981176,580.79
23/08/2016,104.2201932,164.072189,584.97
24/08/2016,103.8897038,163.2619755,582.63
25/08/2016,103.5439278,161.5410338,578.70
26/08/2016,103.172654,160.6101127,576.03
27/08/2016,103.2856423,162.096103,578.87
28/08/2016,102.571996,158.2058385,570.20
29/08/2016,102.8809537,160.5711587,575.11
30/08/2016,102.5398361,160.1756065,573.43
31/08/2016,102.6526676,161.3211941,575.70
01/09/2016,102.2376303,160.0197459,572.27
02/09/2016,102.010793,160.3870099,572.22
03/09/2016,102.2799643,162.6565874,576.85
04/09/2016,104.429567,172.834387,600.37
05/09/2016,105.400029,177.1582201,610.54
06/09/2016,104.9359874,176.186246,607.53
07/09/2016,105.4225377,178.5747767,613.00
08/09/2016,105.6611113,179.7358595,615.66
09/09/2016,107.3768073,185.5547184,630.55
10/09/2016,106.4418192,182.7051351,622.98
11/09/2016,106.5938856,183.4905476,624.75
12/09/2016,104.5762984,177.2431652,608.25
13/09/2016,104.4385932,177.1648425,607.71
14/09/2016,104.4742069,177.6873835,608.69
15/09/2016,104.4809146,178.1016586,609.41
16/09/2016,104.0880216,177.4015909,607.07
17/09/2016,104.0861404,177.8412214,607.81
18/09/2016,103.9377612,177.8493591,607.38
19/09/2016,104.375665,179.5428572,611.53
20/09/2016,103.9264299,178.75226,608.87
21/09/2016,103.7369955,178.7881484,608.37
22/09/2016,102.1519086,174.7937395,596.95
23/09/2016,101.8353787,174.5299011,595.56
24/09/2016,102.566786,177.2868541,602.38
25/09/2016,102.4671182,177.644412,602.69
26/09/2016,102.0285593,177.1817473,600.61
27/09/2016,102.7968766,179.4915376,606.78
28/09/2016,102.4294549,179.1709875,605.15
29/09/2016,102.2704945,179.1738827,604.69
30/09/2016,102.3429408,179.3527979,605.20
01/10/2016,102.5981245,181.0767787,608.87
02/10/2016,103.4746871,183.4184389,615.41
03/10/2016,103.2896322,181.5735724,611.75
04/10/2016,103.4111804,181.8594792,612.59
05/10/2016,103.0885891,180.8941915,610.01
06/10/2016,103.367526,181.6736763,612.15
07/10/2016,103.3212305,181.525483,611.76
08/10/2016,104.1089691,183.7870263,617.91
09/10/2016,104.2958743,184.2864702,619.30
10/10/2016,104.017808,183.4698631,617.10
11/10/2016,104.1497907,183.8218764,618.09
12/10/2016,106.9698156,193.6357137,642.98
13/10/2016,106.2509306,191.1120968,636.60
14/10/2016,106.2246233,190.4743422,635.44
15/10/2016,106.7394648,192.0270446,639.59
16/10/2016,106.5374593,191.0164822,637.28
17/10/2016,107.2293215,193.1404709,642.91
18/10/2016,106.7900083,191.6726286,639.14
19/10/2016,106.3662714,190.3046082,635.58
20/10/2016,105.6467789,188.0473705,629.64
21/10/2016,105.5266608,187.6403999,628.60
22/10/2016,105.8345468,188.4683725,630.91
23/10/2016,108.3881516,197.9822798,654.51
24/10/2016,108.1483269,196.8931716,651.96
25/10/2016,107.9642112,196.069094,650.03
26/10/2016,108.6027635,198.3671352,655.79
27/10/2016,110.40538,206.6573505,675.11
28/10/2016,111.3358832,211.7913155,686.52
29/10/2016,111.6662411,213.5045026,690.39
30/10/2016,113.0022014,226.0129057,715.45
31/10/2016,111.9727551,218.2675647,699.33
01/11/2016,111.9804191,217.9959153,698.90
02/11/2016,113.370191,234.3370686,730.58
03/11/2016,113.9969869,239.0401938,740.37
04/11/2016,110.5250655,215.2366405,689.94
05/11/2016,111.5352007,222.6488059,705.43
06/11/2016,111.6701571,223.2345466,706.82
07/11/2016,112.2151684,227.6595776,715.90
08/11/2016,111.7423903,222.7297783,706.18
09/11/2016,112.1437943,225.3777641,711.84
10/11/2016,112.6827683,230.1619335,721.50
11/11/2016,112.4058053,225.8501901,713.41
12/11/2016,112.5785175,226.9081508,715.70
13/11/2016,111.8911922,221.0859188,703.85
14/11/2016,111.9261839,220.8935517,703.63
15/11/2016,112.105698,221.7745052,705.64
16/11/2016,112.5359539,224.9936161,712.35
17/11/2016,113.7264599,240.5117558,742.05
18/11/2016,113.5016687,236.9157333,735.32
19/11/2016,114.0321722,244.4380898,749.58
20/11/2016,114.1283512,245.2386363,751.21
21/11/2016,113.3702376,234.2020542,730.35
22/11/2016,113.6719614,237.3219631,736.51
23/11/2016,114.1099357,243.364771,748.00
24/11/2016,113.9211965,239.6905656,741.24
25/11/2016,113.8312469,237.5454304,737.35
26/11/2016,113.9715295,238.6806826,739.69
27/11/2016,113.8363002,235.9351308,734.65
28/11/2016,113.6032138,232.2470966,727.74
29/11/2016,113.7583832,233.3628671,730.08
30/11/2016,113.8785757,234.0791711,731.65
01/12/2016,114.2920851,239.6120716,742.20
02/12/2016,114.6490324,245.7848716,753.67
03/12/2016,115.020369,256.1742589,772.30
04/12/2016,114.9540908,252.6205899,766.11
05/12/2016,114.99694,252.7053324,766.38
